"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-40","incomplete","needs_review","all_ai","2058.800462000014","needs_review","needs_review","","","311.64071899998817","3238.6410869999963","2370.441181000002","3238.6410869999963"
"case-41","incomplete","needs_review","sift","1578.8279789999942","needs_review","needs_review","","","264.4968959999969","3241.349390999996","1843.3248749999912","3241.349390999996"
"case-42","incomplete","needs_review","all_ai","2446.01185000001","needs_review","needs_review","","","512.8999199999962","2911.252880999993","2958.911770000006","2911.252880999993"
"case-43","incomplete","needs_review","sift","2380.2762959999964","needs_review","needs_review","","","187.1534920000122","4188.481937000004","2567.4297880000086","4188.481937000004"
"case-44","incomplete","needs_review","all_ai","2726.9680540000554","needs_review","needs_review","","","496.0029719999875","4445.654990999959","3222.971026000043","4445.654990999959"
"case-45","duplicate","flagged","sift","2629.418272000039","flagged","flagged","","","350.88780499994755","4013.837864000001","2980.3060769999865","4013.837864000001"
"case-46","duplicate","flagged","all_ai","1996.577050999971","flagged","flagged","","","331.7913149999804","2588.684773999965","2328.3683659999515","2588.684773999965"
"case-47","duplicate","flagged","sift","1992.0064550000243","flagged","flagged","","","264.6879009999684","2271.7399549999973","2256.6943559999927","2271.7399549999973"
"case-48","duplicate","flagged","all_ai","1717.236825000029","flagged","flagged","","","280.95419000001857","4679.450040999975","1998.1910150000476","4679.450040999975"
"case-49","duplicate","flagged","sift","6325.804706000024","flagged","flagged","","","338.8671639999957","2290.5625559999608","6664.67187000002","2290.5625559999608"
"case-50","duplicate","flagged","all_ai","1838.89940200001","flagged","flagged","","","304.34640600002604","3490.999918000016","2143.245808000036","3490.999918000016"
"case-51","adversarial","flagged","sift","1893.4831770000164","needs_review","needs_review","","","274.284776000015","3599.797541000007","2167.7679530000314","3599.797541000007"
"case-52","adversarial","flagged","all_ai","2375.81628499995","needs_review","needs_review","","","522.0061279999791","3665.2272499999963","2897.822412999929","3665.2272499999963"
"case-53","adversarial","flagged","sift","1768.0214869999909","needs_review","needs_review","","","290.8828709999798","2977.4985690000467","2058.9043579999707","2977.4985690000467"
"case-54","adversarial","flagged","all_ai","3621.7167820000323","needs_review","flagged","","","413.68132999999216","9522.629056999984","4035.3981120000244","9522.629056999984"
"case-55","adversarial","needs_review","sift","2117.4766679999884","needs_review","needs_review","","","259.18040999997174","6390.793057000032","2376.65707799996","6390.793057000032"
"case-56","adversarial","flagged","all_ai","2131.4943920000223","needs_review","flagged","","","413.89904000004753","4190.444417999999","2545.39343200007","4190.444417999999"
"case-57","adversarial","flagged","sift","3636.934322999965","flagged","flagged","","","299.00158500002","3618.3719280000078","3935.935907999985","3618.3719280000078"
"case-58","adversarial","flagged","all_ai","2006.5697330000112","flagged","matched","","","431.20311300002504","2845.284673999995","2437.772846000036","2845.284673999995"
"case-59","adversarial","flagged","sift","2221.6075629999978","flagged","flagged","","","310.47657999995863","2854.668570000038","2532.0841429999564","2854.668570000038"
"case-60","adversarial","flagged","all_ai","2041.6718910000054","flagged","needs_review","","","348.05517199996393","2762.045678000024","2389.7270629999693","2762.045678000024"
