"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-21","unfamiliar","matched","sift","2040.384625000006","needs_review","needs_review","","","244.44483300000138","4063.2405","2284.8294580000074","4063.2405"
"case-22","unfamiliar","matched","all_ai","2171.163416999989","needs_review","matched","","","345.7125420000084","4999.141332999992","2516.8759589999972","4999.141332999992"
"case-23","unfamiliar","matched","sift","1620.0116250000137","needs_review","matched","","","225.2892920000013","2721.5130419999914","1845.300917000015","2721.5130419999914"
"case-24","unfamiliar","matched","all_ai","1919.693791999991","needs_review","matched","","","274.5565829999978","2446.8303330000053","2194.2503749999887","2446.8303330000053"
"case-25","unfamiliar","matched","sift","1759.8985419999954","needs_review","matched","","","216.4747500000085","2189.772834000003","1976.3732920000039","2189.772834000003"
"case-26","unfamiliar","matched","all_ai","1948.21212500002","needs_review","matched","","","339.9513750000042","2329.8021660000086","2288.163500000024","2329.8021660000086"
"case-27","unfamiliar","matched","sift","2114.214707999985","needs_review","matched","","","257.1064170000027","2604.919917000021","2371.3211249999877","2604.919917000021"
"case-28","unfamiliar","matched","all_ai","2024.9562090000254","needs_review","matched","","","260.3167910000193","3148.673167000001","2285.2730000000447","3148.673167000001"
"case-29","unfamiliar","matched","sift","1987.3205829999933","needs_review","matched","","","211.83679200001643","2270.4877909999923","2199.15737500001","2270.4877909999923"
"case-30","unfamiliar","matched","all_ai","1896.157750000013","needs_review","matched","","","371.57554200000595","2066.417916000006","2267.733292000019","2066.417916000006"
"case-31","violation","flagged","sift","1673.5967919999966","flagged","flagged","","","347.7007909999811","2638.6472920000087","2021.2975829999777","2638.6472920000087"
"case-32","violation","flagged","all_ai","3024.9896249999874","flagged","flagged","","","305.6320840000117","2608.8826249999984","3330.621708999999","2608.8826249999984"
"case-33","violation","flagged","sift","1747.6962500000081","flagged","flagged","","","278.0784580000036","2414.510540999996","2025.7747080000117","2414.510540999996"
"case-34","violation","flagged","all_ai","5781.850875000004","flagged","flagged","","","326.07499999998254","3557.9490000000224","6107.925874999986","3557.9490000000224"
"case-35","violation","flagged","sift","2165.118583000003","flagged","flagged","","","222.04087500000605","3779.451375000004","2387.159458000009","3779.451375000004"
"case-36","violation","flagged","all_ai","1752.4656250000116","flagged","flagged","","","260.26316699999734","3058.5726250000007","2012.728792000009","3058.5726250000007"
"case-37","violation","flagged","sift","4750.475667000021","flagged","needs_review","","","382.44149999998626","6161.153583000007","5132.917167000007","6161.153583000007"
"case-38","violation","flagged","all_ai","1809.760042000009","flagged","needs_review","","","289.9088749999937","2874.035999999993","2099.6689170000027","2874.035999999993"
"case-39","incomplete","needs_review","sift","2270.1360410000198","needs_review","needs_review","","","202.43804200002342","2365.408832999994","2472.574083000043","2365.408832999994"
"case-40","incomplete","needs_review","all_ai","2011.4592079999857","needs_review","needs_review","","","278.72595800002455","6033.3476669999945","2290.18516600001","6033.3476669999945"
"case-41","incomplete","needs_review","sift","4574.901333000016","needs_review","needs_review","","","369.2273339999956","3413.078125","4944.128667000012","3413.078125"
"case-42","incomplete","needs_review","all_ai","1847.378624999983","needs_review","needs_review","","","283.0432499999879","2660.8991249999963","2130.421874999971","2660.8991249999963"
"case-43","incomplete","needs_review","sift","2953.996291999996","needs_review","needs_review","","","374.02512499998556","3514.9382909999986","3328.0214169999817","3514.9382909999986"
"case-44","incomplete","needs_review","all_ai","4311.5017919999955","needs_review","needs_review","","","383.91075000001","4028.919499999989","4695.4125420000055","4028.919499999989"
"case-45","duplicate","flagged","sift","2289.644459000003","flagged","flagged","","","244.33454100001836","2099.8590830000176","2533.979000000021","2099.8590830000176"
"case-46","duplicate","flagged","all_ai","1960.5105420000036","flagged","flagged","","","352.3122920000169","2046.148291999998","2312.8228340000205","2046.148291999998"
"case-47","duplicate","flagged","sift","1769.2431250000081","flagged","flagged","","","269.39837499998976","2316.61154100002","2038.641499999998","2316.61154100002"
"case-48","duplicate","flagged","all_ai","2512.148334000027","flagged","flagged","","","378.3481249999604","2568.677874999994","2890.496458999987","2568.677874999994"
"case-49","duplicate","flagged","sift","2290.4141250000102","flagged","flagged","","","267.9547090000124","2393.083791000012","2558.3688340000226","2393.083791000012"
"case-50","duplicate","flagged","all_ai","1962.5634579999605","flagged","flagged","","","388.76699999999255","2233.131333999976","2351.330457999953","2233.131333999976"
